subject l_alpha1 l_alpha2 l_beta_a l_beta_b
X-0933 -3.26676402117068 -20.4462876723851 -3.28060665852331 -3.16787663855344
X-1055 -3.26676402117068 -20.4462876723851 -5.23511634265466 -3.73071732925534
X-1167 -3.26676402117068 -20.4462876723851 -3.47854835220068 -3.46338296446678
X-1173 -3.26676402117068 -20.4462876723851 -4.87274145499429 -5.60299129679783
X-1303 -3.26676402117068 -20.4462876723851 -5.40891699941541 -7.54983925188926
X-1441 -3.26676402117068 -20.4462876723851 -3.95820798330036 -4.40693266483659
X-1443 -3.26676402117068 -20.4462876723851 -3.55095768348419 -3.39286228529362
X-1479 -3.26676402117068 -20.4462876723851 -3.35306319473705 -3.31730056799899
X-1500 -3.26676402117068 -20.4462876723851 -3.22299821940406 -3.89423426074607
X-1536 -3.26676402117068 -20.4462876723851 -3.32390116438767 -3.64936550591698
X-1855 -3.26676402117068 -20.4462876723851 -4.05352646869446 -4.29589540494283
X-2145 -3.26676402117068 -20.4462876723851 -3.78210689093525 -3.8421225421839
X-2239 -3.26676402117068 -20.4462876723851 -4.50179371404527 -6.15398301954377
X-2374 -3.26676402117068 -20.4462876723851 -3.31097539648403 -3.7962791028425
X-2483 -3.26676402117068 -20.4462876723851 -3.47265724262431 -4.19340669444306
X-2484 -3.26676402117068 -20.4462876723851 -3.70819420217126 -4.21967937561963
X-2538 -3.26676402117068 -20.4462876723851 -4.05212937722776 -3.113769615513
X-2659 -3.26676402117068 -20.4462876723851 -3.73908294921153 -4.05100703655514
X-2822 -3.26676402117068 -20.4462876723851 -3.13736595652354 -4.16782354806107
X-2846 -3.26676402117068 -20.4462876723851 -3.2373862204705 -4.35011000568885
X-2861 -3.26676402117068 -20.4462876723851 -3.68526676573554 -3.24000914521261
X-3267 -3.26676402117068 -20.4462876723851 -3.21425673133029 -2.99938462256474
X-3792 -3.26676402117068 -20.4462876723851 -3.35829687690649 -3.52610659786098
X-5254 -3.26676402117068 -20.4462876723851 -3.10706410265382 -3.68879398861059
X-5405 -3.26676402117068 -20.4462876723851 -3.47889851267631 -3.8557379582985
X-5438 -3.26676402117068 -20.4462876723851 -3.86121304220787 -4.77197124002671
X-5446 -3.26676402117068 -20.4462876723851 -2.80764831884743 -3.62682164407731
X-5494 -3.26676402117068 -20.4462876723851 -3.33887140378242 -3.30339796761549
X-5495 -3.26676402117068 -20.4462876723851 -3.15206086794052 -3.94055826461049
X-5578 -3.26676402117068 -20.4462876723851 -4.10203085513657 -4.62194350506345
